companyId,companyFullName,companyLabelList,companyShortName,companySize,businessZones
52553,广州海闻软件技术有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",海闻软件,150-500人,"['古北', '虹桥', '仙霞新村']"
130969,上海景栗信息科技有限公司,"['带薪年假', '股票期权', '弹性工作', '美女多']",景栗Gemii,15-50人,"['鲁迅公园', '虹口足球场', '四平路']"
157236,上海誉狼资产管理有限公司,,上海誉狼,150-500人,['陆家嘴']
7158,上海锐战网络科技有限公司,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",傲世堂,150-500人,
35179,东方财富信息股份有限公司,"['技能培训', '节日礼物', '股票期权', '绩效奖金']",东方财富,2000人以上,"['龙华', '上海体育场', '万体馆']"
109625,上海数禾信息科技有限公司,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",还呗-5折还信用卡,50-150人,['张江']
100244,上海逸迅信息科技有限公司,"['节日礼物', '年底双薪', '股票期权', '绩效奖金']",逸迅科技,50-150人,['张江']
6082,上海二三四五网络科技有限公司,"['员工股权激励', '鼓励内部创业', '互联网百强', '13-16薪']",2345.com,500-2000人,['张江']
50702,北京三快在线科技有限公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",美团点评,2000人以上,
83866,华院数据技术（上海）有限公司,"['带薪年假', '绩效奖金', '定期体检', '通讯津贴']",华院数据,500-2000人,
142041,上海淇毓信息科技有限公司,"['年底双薪', '股票期权', '带薪年假', '定期体检']",奇虎360金融,500-2000人,"['洋泾', '陆家嘴', '源深体育中心']"
128040,上海烯牛信息技术有限公司,"['年底双薪', '股票期权', '免费午餐晚餐', '额外商业保险']",烯牛数据,少于15人,"['徐家汇', '斜土路', '枫林路']"
30634,上海长量基金销售投资顾问有限公司,"['岗位晋升', '五险一金', '带薪年假', '定期体检']",长量基金,50-150人,['陆家嘴']
22364,上海云贝网络科技有限公司,"['绩效奖金', '年底双薪', '专项奖金', '五险一金']",网聚宝,50-150人,['张江']
