positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
1212733,上海,32042,技术,运维安全,本科,"移动互联网,金融",带薪年假 上班不打卡,数据建模与分析师,"['数据仓库', '分析师', '数据', '建模']",10k-20k,1-3年
2351452,上海,65665,运营,运营,大专,"移动互联网,O2O",带薪年假，员工旅游，五险一金，弹性工时,数据分析师,"['分析师', '数据分析', '数据']",15k-20k,1-3年
2580542,上海,28095,金融类,天使投资/VC/PE,本科,金融,"精品投行,优秀团队,氛围轻松",分析师,"['FA', '行业研究', '分析师']",10k-15k,1年以下
2398667,上海,70728,运营,运营,不限,"移动互联网,数据服务",高薪等你来挑战！,数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
2214003,上海,108705,技术,后端开发,硕士,"其他,电子商务",五险一金 休假 绩效奖 年终奖 过节费,数据分析师,"['分析师', '数据分析', '数据']",9k-16k,1-3年
1886873,上海,54816,设计,数据分析,本科,移动互联网,弹性工作 工作环境好 高效团队,高级数据分析师,"['分析师', '数据分析', '数据']",12k-15k,1-3年
1645655,上海,6636,技术,运维安全,本科,"移动互联网,旅游",发展好，培训多，平台赞，福利佳,初级数据分析师,"['分析师', '数据分析', 'MySQL', '数据']",6k-12k,1-3年
2530002,上海,93989,产品,产品经理,博士,企业服务,"五险一金,带薪年假,晋升空间大,免费餐饮",高级数据分析师（产品方向）,"['分析师', '产品经理', '数据分析', '产品', '数据']",8k-12k,1-3年
2512507,上海,5142,金融,风控,本科,"社交网络,金融",上市公司 互联网金融 专业团队,数据分析师,"['分析师', '数据分析', '数据']",10k-15k,1-3年
2056841,上海,64114,产品,产品经理,大专,游戏,福利待遇优，发展晋升空间大,游戏产品数据分析师,"['分析师', '数据分析', '产品', '游戏', '数据']",8k-15k,1-3年
